Priority Group,Paper,Year,Intersection Level,Platform Type,Data Type,Tool-Aware Role,Robot Platform,Weekend Role,Should Read Before Weekend,Paper/Project Link,Code,Dataset/Weights,Reusability,Main Limitation
P0-Intersection Core,GET-USE: Learning Generalized Tool Usage for Bimanual Mobile Manipulation via Simulated Embodiment Extensions,2025,L3: AIGC/sim + mobile/quadruped + tool-aware,mobile manipulator,simulation trajectories,tool selection,22-DoF bimanual mobile robot,Main intersection evidence,Yes,https://arxiv.org/abs/2510.25754,Not found after search,Not found after search,Conceptual,"Closest L3 work, but no public code, no quadruped, no direct-vs-tool necessity"
P0-Intersection Core,SAGA: Open-World Mobile Manipulation via Structured Affordance Grounding,2025,"L2C: mobile/quadruped + tool-aware, no AIGC/sim",quadruped-arm / legged mobile manipulation,real robot data,tool affordance,quadrupedal manipulator,Main intersection evidence,Yes,https://arxiv.org/abs/2512.12842,Not found after search,Real multi-task demonstrations; release not found,Conceptual,"Quadruped+affordance is close, but no AIGC/sim and no tool necessity"
P0-Mobile-Sim Core,SLIM: Sim-to-Real Legged Instructive Manipulation via Long-Horizon Visuomotor Learning,2025,"L2A: AIGC/sim + mobile/quadruped, no tool-aware",quadruped-arm / legged mobile manipulation,simulation trajectories,not tool-aware,Unitree Go1 + WidowX-250S,Mobile setting evidence,Yes,https://arxiv.org/abs/2501.09905,Project resources only,Simulation-trained policy details,Conceptual,Sim-to-real mobile manipulation but no tool state or tool task
P0-Mobile-Sim Core,MobileManiBench,2026,"L2A: AIGC/sim + mobile/quadruped, no tool-aware",mobile manipulation benchmark,simulation trajectories,not tool-aware,2 wheeled mobile manipulation platforms,Mobile setting evidence,Yes,https://arxiv.org/abs/2602.05233,Not found after search,300K trajectories claimed,Conceptual,Strong mobile simulation benchmark; public release unconfirmed and no tool tasks
P0-Mobile-Sim Core,SG-VLA,2026,"L2A: AIGC/sim + mobile/quadruped, no tool-aware",mobile manipulator,simulation trajectories,not tool-aware,13-DoF mobile base-arm-gripper,Mobile setting evidence,Yes,https://arxiv.org/abs/2603.22760,Not found after search,Not found after search,Conceptual,Spatially grounded mobile VLA but no tool-specific evaluation or release
P0-Mobile-Sim Core,MoManipVLA,2025,"L2A: AIGC/sim + mobile/quadruped, no tool-aware",mobile manipulator,simulation trajectories,tool reachability,mobile base + arm,Mobile setting evidence,Yes,https://arxiv.org/abs/2503.13446,Not found after search,Not found after search,Conceptual,"Base-arm feasibility is relevant, but no tool state and no public code"
P0-Mobile-Sim Core,RAKOMO,2025,"L2A: AIGC/sim + mobile/quadruped, no tool-aware",quadruped-arm / legged mobile manipulation,simulation trajectories,tool reachability,HyQReal + Kinova Gen3,Mobile setting evidence,Maybe,https://arxiv.org/abs/2507.19652,Not found after search,Not found after search,Conceptual,"Reachability margin is relevant to reposition, but tasks are generic pick-place"
P0-Mobile-Sim Core,Human2LocoMan,2025,L1B: only mobile/quadruped,quadruped-arm / legged mobile manipulation,human video / egocentric video,not tool-aware,LocoMan quadruped manipulator,Mobile setting evidence,Yes,https://arxiv.org/abs/2506.16475,https://human2bots.github.io/,Open code/data/models linked,Adaptable,"Strong quadruped data/interface evidence, but no simulation/tool awareness"
P0-Tool-Sim Core,Creative Robot Tool Use by Counterfactual Reasoning,2026,"L2B: AIGC/sim + tool-aware, no mobile",tool-use / affordance only,simulation trajectories,tool state / suitability,simulated fixed-base tool tasks,Tool-aware motivation,Yes,https://arxiv.org/abs/2605.05411,Not found after search,Not found after search,Conceptual,"Targeted interventions, but no mobile embodiment and no direct-vs-tool decision"
P0-Tool-Sim Core,Robustness-Aware Tool Selection and Manipulation Planning,2025,"L2B: AIGC/sim + tool-aware, no mobile",fixed-base manipulation,simulation trajectories,tool selection,fixed-base arm,Tool-aware motivation,Yes,https://arxiv.org/abs/2506.03362,Not found after search,Not found after search,Conceptual,"Models suitability/robustness, but tool use is assumed and no mobile reachability"
P0-Tool-Sim Core,Physics-Conditioned Grasping for Stable Tool Use,2025,"L2B: AIGC/sim + tool-aware, no mobile",fixed-base manipulation,simulation trajectories,tool-use action,fixed-base arm,Tool-aware motivation,Yes,https://arxiv.org/abs/2505.01399,Not found after search,Not found after search,Conceptual,"Tool-conditioned action/grasp, but no necessity or base reposition"
